Lavoy Allen,2017,27,IND,NBA,PF,61,871,.458,8.9,.994,.357,.256,.060,.321,.006,.461,.583,.465,.200,.370,.000,.740,.030,4,,.000,,0,0
Al-Farouq Aminu,2011,20,LAC,NBA,SF,81,1452,.394,13.0,.648,.315,.175,.037,.121,.352,.437,.578,.423,.067,.204,.315,.443,.081,27,.978,.385,.291,1,0
Al-Farouq Aminu,2012,21,NOH,NBA,SF,66,1477,.411,9.7,.871,.389,.205,.077,.200,.129,.431,.563,.320,.250,.356,.277,.591,.110,37,1.000,.340,.250,0,0
Al-Farouq Aminu,2013,22,NOH,NBA,SF,76,2066,.475,7.1,.960,.489,.224,.080,.167,.040,.486,.642,.368,.316,.266,.211,.710,.190,80,1.000,.421,.375,0,0
Al-Farouq Aminu,2014,23,NOP,NBA,SF,80,2045,.474,8.6,.903,.453,.204,.040,.202,.097,.496,.661,.317,.450,.320,.271,.674,.087,42,1.000,.625,.333,0,0
Al-Farouq Aminu,2015,24,DAL,NBA,SF,74,1366,.412,11.4,.653,.406,.140,.036,.070,.347,.485,.628,.240,.538,.120,.274,.673,.132,42,1.000,.500,.306,0,0
Al-Farouq Aminu,2016,25,POR,NBA,SF,82,2341,.416,14.9,.515,.252,.121,.047,.095,.485,.468,.597,.299,.382,.382,.361,.595,.061,42,.921,.410,.392,1,0
Al-Farouq Aminu,2017,26,POR,NBA,PF,61,1773,.393,14.0,.545,.320,.133,.030,.060,.455,.445,.530,.306,.357,.357,.330,.460,.058,24,1.000,.358,.355,3,0
Al-Farouq Aminu,2018,27,POR,NBA,PF,69,2072,.395,16.5,.418,.215,.120,.026,.057,.582,.432,.608,.314,.133,.152,.369,.486,.041,23,.960,.280,.474,0,0
Al-Farouq Aminu,2019,28,POR,NBA,PF,81,2292,.433,13.9,.528,.351,.105,.029,.044,.472,.514,.611,.419,.118,.231,.343,.516,.079,42,1.000,.311,.356,0,0
Al-Farouq Aminu,2020,29,ORL,NBA,PF,18,380,.291,13.3,.581,.267,.244,.000,.070,.419,.320,.435,.190,,.333,.250,.438,.012,1,.889,.222,.375,0,0
Justin Anderson,2016,22,DAL,NBA,SF,55,647,.406,14.9,.526,.251,.097,.063,.114,.474,.533,.773,.235,.455,.300,.265,.449,.097,17,.909,.410,.294,0,0
Justin Anderson,2017,23,TOT,NBA,SF,75,1228,.424,14.1,.558,.319,.128,.057,.050,.442,.522,.707,.339,.280,.136,.299,.539,.096,37,.948,.227,.341,2,0
Justin Anderson,2017,23,DAL,NBA,SF,51,710,.401,14.1,.560,.296,.152,.058,.051,.440,.477,.671,.333,.250,.071,.303,.459,.072,17,.973,.270,.364,1,0
Justin Anderson,2017,23,PHI,NBA,SF,24,518,.463,14.1,.556,.358,.086,.056,.049,.444,.600,.759,.357,.333,.250,.292,.648,.136,20,.905,.153,.273,1,0
Justin Anderson,2018,24,PHI,NBA,SF,38,519,.431,14.8,.490,.302,.104,.040,.045,.510,.535,.672,.238,.375,.444,.330,.679,.104,17,.941,.291,.300,1,0
Justin Anderson,2019,25,ATL,NBA,SF,48,463,.408,14.8,.510,.293,.127,.070,.019,.490,.500,.674,.300,.273,.000,.312,.525,.096,14,.917,.221,.353,1,0
Justin Anderson,2020,26,BRK,NBA,SF,3,17,.167,13.7,.500,.500,.000,.000,.000,.500,.333,.333,,,,.000,1.000,.167,1,,.333,.000,0,0
